Artistas,Nome da Musica,Letra
Simone Mendes,Dois Tristes,"Oh, oh
Ontem saímos de novo
E você emburrada
Com a cara fechada
Tinha um casal do lado
Curtindo de boa
Quando eu pedi alguém pra Deus
Eu queria esse tipo de pessoa
Nós somos dois tristes
Que nunca serão felizes
'To com a sensação de que escolhi errado
Quem 'tá do meu lado
Quanto mais eu saio e conheço gente
Isso fica mais claro
Todo casal que eu vejo
Bebe junto, tem assunto
'Tá feliz, beija de língua
E a gente só briga, briga, briga, briga, briga
'To com a sensação de que escolhi errado
Quem 'tá do meu lado
Quanto mais eu saio e conheço gente
Isso fica mais claro
Todo casal que eu vejo
Bebe junto, tem assunto
'Tá feliz, beija de língua
E a gente só briga, briga, briga, briga, briga
Pra mim já deu
Cansei de ver todo mundo feliz
Menos eu
Joga essa mão pro céu
Simone Mendes
Nós somos dois tristes
Que nunca serão felizes
'To com a sensação de que escolhi errado
Quem 'tá do meu lado
Quanto mais eu saio e conheço gente
Isso fica mais claro
Todo casal que eu vejo
Bebe junto, tem assunto
'Tá feliz, beija de língua
E a gente só briga, briga, briga, briga, briga
'To com a sensação de que escolhi errado
Quem 'tá do meu lado
Quanto mais eu saio e conheço gente
Isso fica mais claro
Todo casal que eu vejo
Bebe junto, tem assunto
'Tá feliz, beija de língua
E a gente só briga, briga, briga, briga, briga
Pra mim já deu
Cansei de ver todo mundo feliz
Menos eu
Oh, oh"
"Simone Mendes, Manu Bahtidao",Daqui pra Frente,"Joga, joga a mão em cima
Joga a mão e grita
Hey, hey, hey, hey, hey, hey, hey, hey, hey, hey
Vamo lá, Ceará
Vem comigo e diz assim, ó
Todo mundo falou
Que o nosso amor
Era frágil demais
Que não era capaz
Mas não ouvi ninguém
Que não quer nosso bem
Eu me dediquei
Por nós dois lutei
Eu e você contra o mundo
Eu enfrento tudo se eu tiver você
E olha onde a gente chegou
Tudo que a gente conquistou
Daqui pra sempre é só eu e tu
Calando a boca do mundo
E olha onde a gente chegou
Tudo que a gente conquistou
Daqui pra sempre é só eu e tu
Calando a boca do mundo
Eu te amo até o fim dos tempos
E agora, chega pra cantar comigo
Simone Mendes!
Isso é Manu (Bahtidão)
Simone Mendes
Joga a mão, joga a mão e grita
Hey, hey, hey
Todo mundo falou
Que o nosso amor
Era frágil demais
Que não era capaz
Mas não ouvi ninguém
Que não quer nosso bem
Eu me dediquei
Por nós dois lutei
Eu e você contra o mundo
Eu enfrento tudo se tiver você
E olha onde a gente chegou
Tudo que a gente conquistou
Daqui pra sempre é só eu e tu
Calando a boca do mundo
E olha onde a gente chegou
Tudo que a gente conquistou
Daqui pra sempre é só eu e tu
Calando a boca do mundo
Eu te amo até o fim dos tempos
Simone Mendes!
Obrigado, Manu
Isso é Manu Bahtidão
Tchau gente, 'brigado!"
"Gusttavo Lima, Traia Veia",Equivocada,"Eu
Dentro do meu carro
Indo pro trabalho
Dando play no áudio
Ela me mandou na madrugada
Quando ela 'tava beba' e desbocada
Sem filtro nenhum na suas palavras
Fechei o vidro e enxuguei as lágrimas
E o sinal abria, fechava
E eu engasguei no choro, na marcha
Ao som de buzinada
Do nada a ficha caiu
Que ela me traiu, se distraiu
Mandou um áudio equivocada e dormiu
E o sinal abria, fechava
E eu engasguei no choro, na marcha
Ao som de buzinada
Do nada a ficha caiu
Que ela me traiu, se distraiu
Mandou um áudio equivocada e dormiu
(E com vocês, Gusttavo Lima)
(Eh, Traia Véia)
Eu
Dentro do meu carro
Indo pro trabalho
Dando play no áudio
Que ela me mandou na madrugada
Quando ela 'tava beba' e desbocada
Sem filtro nenhum na suas palavras
Fechei o vidro e enxuguei as lágrimas eh eh
E o sinal abria, fechava
E eu engasguei no choro, na marcha
Ao som de buzinada
Do nada a ficha caiu
Que ela me traiu, se distraiu
Mandou um áudio equivocada e dormiu
E o sinal abria, fechava
E eu engasguei no choro, na marcha
Ao som de buzinada
Do nada a ficha caiu
Que ela me traiu, se distraiu
Mandou um áudio equivocada e dormiu eh eh"
Gusttavo Lima. Bruno e Marrone,Relacao Errada,"E eu já te pedi desculpa sem errar
Me anulei às vezes pra não te perder
Fiz o que eu nem queria só pra te agradar
Mas uma coisa eu não posso fazer
Sua parte
Eu te amei, eu te amei, mas faltou 'cê fazer
Sua parte
Opostos até podem se atrair
Mas só dispostos vão permanecer
É tão difícil se adaptar
Alguém tão diferente de você
E mesmo com amor, acaba
Mesmo com paixão, acaba
Quando alguém quer te mudar o tempo todo você 'tá na relação errada
Mesmo com amor, acaba
Mesmo com paixão, acaba
Quando os dois não se batem
Não combinam, nem santo casamenteiro casa
Mesmo com amor, acaba (acaba)
Opostos até podem se atrair
Mas só dispostos vão permanecer
É tão difícil se adaptar
Alguém tão diferente de você
Mesmo com amor, acaba
Mesmo com paixão, acaba
Quando alguém quer te mudar o tempo todo você 'tá na relação errada
Mesmo com amor, acaba
Mesmo com paixão, acaba
Quando os dois não se batem, não combinam
Nem santo casamenteiro casa
Mesmo com amor, acaba
Mesmo com paixão, acaba
Quando alguém quer te mudar o tempo todo você 'tá na relação errada
Mesmo com amor, acaba
Mesmo com paixão, acaba (a paixão acaba)
Quando os dois não se batem, não combinam
Nem santo casamenteiro casa
Mesmo com amor, acaba
Com amor, acaba
"
"Manu Bahtidao, Guilherme e Benuto",Torre Eiffel,"Eu rezo pra você achar
O amor da sua vida
Alguém que seja tudo aquilo que voce queria
Que ela seja mulher foda e ti faça feliz
Já que eu não fui a pessoa que você sempre quis
Eu te amo, mas eu sei que a gente não dá certo
Quero ver teu sorriso
Mesmo não estando perto
Saber ir embora também é prova de amor
A nossa história fica, mas a gente acabou
Tomara que ele te leve pra viajar
Lá pra torre Eiffel, onde você sonhou noivar
Que faça amor contigo no banco detrás do carro
Te leve pra jantar
Naquele restaurante caro
Mas deixa eu te dar um aviso
Vai sabendo que isso tudo ia ser bem melhor comigo
Deixa eu te dar um aviso
Vai sabendo que isso tudo ia ser bem melhor comigo
alô, Fortaleza
(Vem, vem, vem, vem) e o Goiás misturado com o Pará
(Fica mais ou menos assim ó)
Eu te amo, mas eu sei que a gente não dá certo
Quero ver teu sorriso
Mesmo não estando perto
Saber ir embora também é prova de amor
A nossa história fica, mas a gente acabou
Tomara que ele te leve pra viajar
Lá pra torre Eiffel, onde você sonhou noivar
Que faça amor contigo no banco detrás do carro
Te leve pra jantar
Naquele restaurante caro
Mas deixa eu te dar um aviso
Vai sabendo que isso tudo ia ser bem melhor comigo
Deixa eu te dar um aviso
Vai sabendo que isso tudo ia ser bem melhor
Comigo, oh oh (oh oh)
(Manu Bahtidão)
(E Guilherme e Benuto)
(Brigado, gente)
(Brigado gente, coisa linda) senhoras e senhores, uma salva de palmas pra Guilherme e Benuto
(Muito obrigado)"
Ze Neto e Cristiano,Deu moral,"Sempre tem um
Que conhece outro
Que conhece alguém
Que conhece eu
Me fala se tinha ou não tinha
Três pedra de gelo no copo que 'cê bebeu
É melhor eu parar por aqui
Porque não para por aí o que chegou pra mim
É, nem precisa se explicar
Porque eu sei que esse começo não chegou ao fim (vem com a gente, vem)
Só não beijou, não vacilou
Porque 'cê sabe
Que aqui na minha quebrada eu conheço todo mundo
Mas 'cê deu moral, esticou o assunto
Só não beijou, não vacilou
Porque 'cê sabe
Que aqui na minha quebrada eu conheço todo mundo
É melhor eu parar por aqui
Porque não para por aí o que chegou pra mim
É, nem precisa se explicar
Porque eu sei que esse começo não chegou ao fim
Mas 'cê deu moral, esticou o assunto
Só não beijou, não vacilou
Porque 'cê sabe
Que aqui na minha quebrada eu conheço todo mundo
Mas 'cê deu moral, (esticou o assunto)
Só não beijou, não vacilou
Porque 'cê sabe
Que aqui na minha quebrada eu conheço todo mundo
Mas 'cê deu moral"
Diego e Victor Hugo,Bem mais que eu,"Sei que você não 'tá entendendo nada
Tanta gente reunida aqui em casa
Eu convidei tanta gente por uma razão
Acalma o coração
Bebe um pouco
Que o assunto é um pouco importante
Aliás
Bebe um pouco mais
Que o assunto é importante demais
Deixa eu ajoelhar na sua frente
Calma, respira
Lá vem o pedido
E vai ser de uma vez
1, 2, 3
Você quer caçar seu rumo
Por que eu já sei de tudo
Aproveita, pega ele e leva junto
Você só errou no conto
A cidade é pequena
Você conta, ele conta, ou eu conto
Você tem seus amigos
E eu os meus
Um mais meus do que seu
E um bem mais seu do que meu (achou que eu não ia ficar sabendo, né)
(Então)
Bebe um pouco
Que o assunto é um pouco importante
Bebe um pouco mais
Que o assunto é importante demais
Deixa eu ajoelhar na sua frente
Calma, respira
Lá vem o pedido
E vai ser de uma vez
1, 2, 3
Você quer caçar seu rumo
Por que eu já sei de tudo
Aproveita, pega ele e leva junto
Você só errou no conto
A cidade é pequena
Você conta, ele conta, ou eu conto
Você tem seus amigos
E eu os meus
Um mais meus do que seu
E um bem mais seu do que meu"
"Rionegro e Solimoes, Maiara e Maraisa",Isso e coisa de quem quer voltar,"Um ""oi saudade"", às três da tarde
Não é normal pra quem quer esquecer
Nem ""oi saudade"", às três da madruga
Com voz de quem acabou de beber
É o tal de ""cê faz falta, choro por sua causa
Te lembro e encho a cara""
E, se eu der moral, 'cê vem dormir aqui em casa
'Cê fica nesse fogo só no frio da madrugada (vem, vem)
Se quem te largou te ligar e lançar um ""saudade""
No meio da sonzeira do bar
Isso é coisa de quem quer voltar
Isso é coisa de quem quer voltar
Se quem te largou te ligar e lançar um ""saudade""
No meio da sonzeira do bar
Isso é coisa de quem quer voltar
Isso é coisa de quem quer voltar
Tentou esquecer, mas só fez me lembrar (ah, modão bruto)
é gente inesquecível, né
É um tal de ""cê faz falta, choro por sua causa
Te lembro e encho a cara""
E, se eu der moral, 'cê vem dormir aqui em casa
'Cê fica nesse fogo só no frio da madrugada
Se quem te largou te ligar e lançar um ""saudade""
No meio da sonzeira do bar
Isso é coisa de quem quer voltar
Isso é coisa de quem quer voltar
Se quem te largou te ligar e lançar um ""saudade""
No meio da sonzeira do bar
Isso é coisa de quem quer voltar
Isso é coisa de quem quer voltar
Se quem te largou te ligar e lançar um ""saudade""
No meio da sonzeira do (isso é o que?)
(Isso é coisa de quem quer voltar
Isso é coisa de quem quer voltar)
Se quem te largou te ligar e lançar um ""saudade""
No meio da sonzeira do bar
Isso é coisa de quem quer voltar
Isso é coisa de quem quer voltar
Tentou esquecer, mas só fez me lembrar
Isso é coisa de quem quer voltar
Isso é coisa de quem quer voltar
(Eu acho que ele 'tá querendo voltar, viu)"
"Thiago e Samuel, Simone Mendes",Amor diferente,"Um beijo foda, já beijei
Uma cama quente, já deitei
Já fiz amor de tudo que é jeito
Pra tirar você do peito
Só que eu não tirei
Achei que nós dois não tinha nada a ver
Até eu ficar longe de você
A gente pode tentar e dar errado outra vez
Mas de uma coisa você sabe
E eu também sei
Só a gente faz amor diferente
Se você não voltar, morre gente
Morre eu de beber na cidade
Ou você de orgulho e saudade
Só a gente faz amor diferente
Se você não voltar, morre gente
Morre eu de beber na cidade
Ou você de orgulho e saudade
Só a gente faz amor diferente
(E pra cantar com a gente, ela, Simone Mendes)
(Oi, gente, Thiago e Samuel)
Achei que nós dois não tinha nada a ver
Até eu ficar longe de você
A gente pode tentar e dar errado outra vez
Mas de uma coisa você sabe
E eu também sei
Só a gente faz amor diferente
Se você não voltar, morre gente
Morre eu de beber na cidade
Ou você de orgulho e saudade
Só a gente faz amor diferente
Se você não voltar, morre gente
Morre eu de beber na cidade
Ou você de orgulho e saudade
E só a gente faz amor diferente
Se você não voltar, morre gente
Morre eu de beber na cidade (na cidade)
Ou você de orgulho e saudade
Só a gente faz amor diferente
(Oh, paixão)
Diferente
(Eh) obrigado, gente
(Simone Mendes, que que isso, São Paulo)
(Coisa linda)"
"Jorge e Mateus, Lauana Prado",Havera sinais,"Tá quase viu?
Ontem a noite eu beijei alguém
E o choro não caiu
Só roupa que caiu
'Tá quase viu?
Hoje mesmo olhei sua foto e nem arrepiei
Até assustei
Cada foto minha que chega pra você
Só mostra o que 'cê pode ver
'Cê acha mesmo, que eu só sei virar noite
Virar copo, mal 'cê sabe que quem 'tá virando nada pra mim é você
Ninguém vai saber que eu te esqueci
Mas haverá sinais
Tipo a minha boca por aí
Tipo eu não te ligando mais
Ninguém vai saber que eu te esqueci
Mas haverá sinais
Tipo a minha boca por aí
Tipo eu não te ligando mais
'Tá quase viu?
Ontem a noite eu beijei alguém
E o choro não caiu
Só roupa que caiu
'Tá quase viu?
Hoje mesmo olhei sua foto e nem arrepiei
Até assustei
Cada foto minha que chega pra você
Só mostra o que 'cê pode ver
'Cê acha mesmo, que eu só sei virar noite
Virar copo, mal 'cê sabe que quem 'tá virando nada pra mim é você
Ninguém vai saber que eu te esqueci
Mas haverá sinais
Tipo a minha boca por aí
Tipo eu não te ligando mais
Ninguém vai saber que eu te esqueci
Mas haverá sinais
Tipo a minha boca por aí
Tipo eu não te ligando mais
Ninguém vai saber que eu te esqueci
Mas haverá sinais
Tipo a minha boca por aí
Tipo eu não te ligando mais
Ninguém vai saber que eu te esqueci
'Tá quase viu?"
